name,house_id,location,xiaoqu_address,huanxianweizhi,xiangmutese,youbian,chanquan,kaifashang,jianzhu_type,jianzhu_mianji,jianzhu_jiegou,zhandi_mianji,dangqihu_shu,loudong_shu,zonghu_shu,lvhua_lv,rongji_lv,wuye_gongsi,wuye_fee,wuye_phone,wuye_type,wuye_address,gps_x,gps_y,built_time
花都财富小区网,huaducaifu,金牛 花牌坊,金牛花牌坊街16号,：一至二环,,610036,40年产权,成都星译投资有限责任公司,塔楼 高层,42000平方米,框剪,5400平方米,709户,2016-12-01,709户,30%,6.49,花牌坊街16号,3.50元/平米·月,,住宅,,104.05177307128906,30.68671226501465,2016-12-01
金房华韵天府观锦小区网,huayuntianfuguanjinjf,锦江 三圣乡,锦江锦江区月季路166号,：三至绕城,"复合地产,宜居生态地产,打折优惠楼盘",610011,住宅产权,成都金房集团有限公司,板塔结合 低层 高层,230400平方米,框剪,83337平方米,385户,4栋,1922户,30%,3.00,成都金房物业服务有限公司,2.20元/平米·月,,住宅,小区四栋楼下,104.15479278564453,30.610454559326172,2013-06-01
玲珑南域小区网,linglongnanyu,高新区 新北,高新区新乐中街280号,：中至三环,宜居生态地产,610093,70年,成都恩威投资（集团）有限公司,塔楼 高层,191258平方米,框剪结构,48419平方米,1613户,5栋,1613户,30%,3.95,成都鸟巢物业,1.50元/平米·月,028-85145717,住宅,小区2栋一楼,104.04476928710938,30.615520477294922,2011-01-01
双华麓港小区网,shuanghualugang,天府新区 麓山,天府新区成都市天府大道2036号,：绕城以外,"宜居生态地产,地铁沿线,打折优惠楼盘",610200,70年产权,成都双华通缆有限公司,板塔结合 高层,160776平方米,框剪结构,27523平方米,1129户,3栋,1129户,30%,5.84,信茹物业,1.60元/平米·月,028-61907277,住宅,1号楼1单元1楼,104.07579803466797,30.496477127075195,2009-08-31
东方明珠花园小区网,dongfangmingzhu028,成华 八里小区,成华双建路8号,：二至中环,,610051,70年,成都华裕房地产有限公司,板楼 多层 小高层,80659平方米,框剪,46137平方米,700户,16栋,700户,41%,1.75,成都圣合物业管理有限公司,1.00元/平米·月,028-86459399,住宅,5栋背面,104.12078094482422,30.683731079101562,2001-01-01
麓山国际长岛小区网,changdao,天府新区 麓山,天府新区麓山大道二段6号,：绕城以外,特色别墅,610225,住宅产权年限70年,成都万华房地产开发有限公司,独栋,500000平方米,框架,666667平方米,106户,106栋,106户,45%,0.48,成都麓山物业管理有限公司,4.20元/平米·月,028-85761031,别墅,人民南路延线麓山大道二段六号,104.10364532470703,30.48223876953125,2012-08-01
翰林南城小区网,hanlinnancheng,双流 机场路,双流长江路二段5号,：绕城以外,,610225,70年,四川中盛房地产开发有限责任公司,板楼 多层,158000平方米,砖混,104000平方米,1262户,35栋,1262户,46.80%,1.52,四川润无声物业管理有限公司,0.60元/平米·月,85883058、85234234,住宅,22-5-2,103.99699401855469,30.57662582397461,2007-12-01
警馨苑小区网,jingxinyuansl,双流 航空港,双流双流县机场路大件路白家段69号,：绕城以外,,610225,70年产权,,塔楼 小高层,,框剪,,,8栋,,40%,3.00,小区物业,1.75元/平米·月,,住宅,3栋1单元101号,104.00598907470703,30.56861114501953,2011-01-01
领峰小区网,lingfeng,高新区 天府软件园,高新区天府大道中段345号,：绕城以外,"宜居生态地产,打折优惠楼盘",610016,70年产权,四川锐力置业有限公司,板塔结合 高层,125800平方米,混合结构,33350平方米,378户,3栋,1033户,39.61%,5.00,1.80元/平米·月,1.80元/平米·月,028-85635867,住宅,一栋一楼大厅,104.07810974121094,30.53163719177246,2012-12-01
蓝光香境小区网,languangxiangjing,温江 光华大道,温江凤凰北大街666号,：绕城以外,宜居生态地产,611130,70年,蓝光集团,塔楼 高层,170000平方米,框剪,90667平方米,1446户,34栋,1446户,35%,1.87,嘉宝物业,1.60元/平米·月,028-88888881,住宅,1栋物业办公室,103.89929962158203,30.692644119262695,2008-01-01
三盛翡俪山小区网,feilishanss,双流 牧马山,双流双流牧马山燕杨路,：绕城以外,"特色别墅,豪华居住区",610299,"三盛翡俪山独栋产权为70年,联排产权为7...",成都中海投资置业有限公司,独栋 联排,72000平方米,,61000平方米,203户,2015-06-01,203户,40%,0.70,双流牧马山燕杨路,3.50元/㎡·月,,别墅,,103.90198516845703,30.511829376220703,2015-06-01
鲁能城,lunengchengcd,成华 万年场,成华跳蹬河槐树店路26号（成洛大道与中...,：二至中环,地铁沿线,610058,成都鲁能城普通住宅产权为70年,成都鲁能置业有限公司,塔楼 高层 超高层,400000平方米,,313334平方米,7000户,3栋,7000户,30%,3.00,鲁能物业,2.80元/㎡·月,,住宅,,104.14300537109375,30.652822494506836,2017-06-01
